
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0048                          R1                                22   1      1   1   1 1           1 0 XSIG010347          (1023-7-13)
00-0048                          R1                                22   1      2   1   1 2           2 0 XSIG010311          (1023-1-13)
00-0048                          R2                                21   1      1   1   1 1           1 0 XSIG010312          (1023-2-13)
00-0048                          R2                                21   1      2   1   1 2           2 0 XSIG010348          (1023-8-13)
00-0048                          R3                                20   1      1   1   1 1           1 0 XSIG010409          (1023-30-13)
00-0048                          R3                                20   1      2   1   1 2           2 0 XSIG010320          (1023-4-13)
00-0048                          R4                                19   1      1   1   1 1           1 0 XSIG010410          (1023-31-13)
00-0048                          R4                                19   1      2   1   1 2           2 0 XSIG010351          (1023-10-13)
00-0122                          R9                                33   1      1   1   1 1           1 0 PROXSENSOR          (1023-27-13)
00-0122                          R9                                33   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0176                          R7                                27   1      1   1   1 1           1 0 VCC5                (1023-33-13)
01-0176                          R7                                27   1      2   1   1 2           2 0 XSIG010371          (1023-17-13)
01-0176                          R8                                28   1      1   1   1 1           1 0 VCC5                (1023-33-13)
01-0176                          R8                                28   1      2   1   1 2           2 0 XSIG010372          (1023-18-13)
01-0204                          R5                                24   1      1   1   1 1           1 0 XSIG010349          (1023-9-13)
01-0204                          R5                                24   1      2   1   1 2           2 0 XSIG010313          (1023-3-13)
01-0204                          R6                                23   1      1   1   1 1           1 0 XSIG010411          (1023-32-13)
01-0204                          R6                                23   1      2   1   1 2           2 0 XSIG010322          (1023-5-13)
10-0011                          C1                                14   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0011                          C1                                14   1      2   1   1 2           2 0 XSIG010334          (1023-6-13)
10-0057                          C4                                32   1      1   1   1 1           1 0 XSIG010437          (1023-36-13)
10-0057                          C4                                32   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0068                          C6                                37   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0068                          C6                                37   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0068                          C7                                36   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0068                          C7                                36   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0068                          C8                                35   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0068                          C8                                35   1      2   1   1 2           2 0 GND                 (43-1-13)
